,hour,Spring,spring_stdev,Summer,summer_stdev,Fall,fall_stdev,Winter,winter_stdev
0,00,142.17777777777778,62.18870525849845,45.03260869565217,23.183320037848677,47.27173913043478,12.03988233084704,119.8913043478261,51.56495619114137
1,01,140.76666666666668,60.984888838684185,44.380434782608695,22.66286101480087,47.119565217391305,12.114348653114822,117.07608695652173,50.772774648995245
2,02,140.51685393258427,61.96666598642408,44.04347826086956,23.064141678804415,46.68817204301075,12.135417369134418,115.8586956521739,51.05657167634892
3,03,138.92222222222222,60.49044511835968,44.15217391304348,23.64269111374991,46.68478260869565,12.494285083002937,115.41304347826087,51.37165352983504
4,04,138.17777777777778,58.67605564600299,44.391304347826086,23.35964400122344,46.78260869565217,12.542818911161289,115.71739130434783,50.60875634988141
5,05,140.88888888888889,58.90678973211161,44.44565217391305,22.647278428695213,46.79347826086956,12.515675426438728,117.55434782608695,50.66500467272959
6,06,144.96666666666667,60.57070248890961,45.30434782608695,22.52473960204394,47.34782608695652,12.401292694372364,122.52173913043478,52.964401141519325
7,07,148.32222222222222,64.07579327601508,46.92391304347826,22.633292953202417,51.06521739130435,13.634837372339002,128.20652173913044,53.14961205704839
8,08,151.9,67.56643644098256,49.04347826086956,24.700780239163315,52.40217391304348,14.250903695684258,132.77173913043478,53.65775264316011
9,09,151.84444444444443,69.02075551135341,47.65217391304348,23.821088018907464,52.79347826086956,14.6729105937781,134.34782608695653,56.16443923342009
10,10,186.15555555555557,367.7162828749333,46.47826086956522,23.745241290244792,51.57608695652174,13.598460347352768,132.2173913043478,56.35732776839859
11,11,145.77777777777777,64.82656824649355,46.04347826086956,22.540260136745008,51.46739130434783,12.693246310158765,131.56521739130434,55.01804137850287
12,12,142.98888888888888,61.94379072898703,45.45652173913044,22.41186266024538,50.91304347826087,13.447686219208252,132.83695652173913,55.821002198002624
13,13,142.56666666666666,62.970725120663985,44.96739130434783,22.541966219050046,50.55434782608695,15.634663363427837,133.90217391304347,54.91456997258651
14,14,141.35555555555555,63.07496617537496,44.47826086956522,22.244431770704143,50.09782608695652,15.0275542447349,133.3804347826087,56.29152426572574
15,15,142.7888888888889,63.81196238331712,43.67391304347826,20.97623328791326,49.358695652173914,13.946778903278622,132.20652173913044,56.87009186533169
16,16,145.06666666666666,65.23254129990988,43.619565217391305,21.160279849029045,49.55434782608695,12.731648455748225,134.59782608695653,55.6581295641387
17,17,150.63333333333333,68.66188494677704,44.02173913043478,20.99998874785908,50.96739130434783,13.331436439578937,136.25,57.16216919393912
18,18,154.0222222222222,69.9831690524035,45.21739130434783,21.412524822674786,53.5,14.993839314575315,136.2826086956522,56.64483668993573
19,19,153.42222222222222,69.5951750846402,46.108695652173914,21.45898844902058,54.40217391304348,17.998828333007083,133.92391304347825,56.33522214612548
20,20,152.73333333333332,68.0448871456678,46.08695652173913,21.724886637975626,52.04347826086956,14.364746281357991,130.66304347826087,54.610732575899114
21,21,151.45555555555555,67.71495175629993,45.44565217391305,21.776714793176787,49.29347826086956,12.533032912613683,127.21739130434783,53.640677719788236
22,22,148.77777777777777,66.21040162958246,44.95652173913044,22.243178262245895,48.05434782608695,11.717103932912316,126.03260869565217,52.74805809056046
23,23,144.96666666666667,64.05214021925158,44.77173913043478,22.77255368471554,48.01086956521739,11.69865708125193,123.3913043478261,50.94049310155047
