,hour,Spring,spring_stdev,Summer,summer_stdev,Fall,fall_stdev,Winter,winter_stdev
0,00,0.0,0.0,2.0,19.078784028338916,0.0,0.0,0.34782608695652173,3.318049396232855
1,01,0.0,0.0,2.0,19.078784028338916,0.0,0.0,0.34782608695652173,3.318049396232855
2,02,0.0,0.0,2.0,19.078784028338916,0.0,0.0,0.34782608695652173,3.318049396232855
3,03,0.0,0.0,2.0,19.078784028338916,0.0,0.0,0.34782608695652173,3.318049396232855
4,04,0.0,0.0,2.0,19.078784028338916,0.0,0.0,0.34782608695652173,3.318049396232855
5,05,0.0,0.0,6.5978260869565215,19.10955814940279,0.06521739130434782,0.32317540755040236,0.25,2.384848003542364
6,06,2.522222222222222,3.509440530840517,26.58695652173913,22.957499567448853,2.5434782608695654,4.974747193660374,0.0,0.0
7,07,17.58888888888889,18.053558863955907,57.119565217391305,30.873107191163168,16.42391304347826,19.754599737151025,0.10869565217391304,0.49905392535865206
8,08,49.48888888888889,38.44512523481993,101.8913043478261,43.104891410558814,46.75,38.259305489275945,2.608695652173913,5.162482807086079
9,09,87.55555555555556,56.32230880508897,130.82608695652175,45.10678361584155,85.56521739130434,51.22378530989761,11.847826086956522,15.572365980499683
10,10,121.31111111111112,72.1798131896915,161.7391304347826,55.22422073479712,123.02173913043478,59.178429211427606,24.608695652173914,27.070743280836183
11,11,142.9,82.49337347124717,182.09782608695653,58.72135005086176,154.57608695652175,68.52581768235908,34.26086956521739,36.146402059576445
12,12,151.96666666666667,89.87577228844513,193.43478260869566,63.4393418512358,169.22826086956522,77.68695588299707,37.15217391304348,37.8348628000709
13,13,149.0888888888889,94.85704383667087,194.20652173913044,63.56792636082087,170.70652173913044,80.78158125779909,30.76086956521739,31.375138858247162
14,14,134.65555555555557,94.85605013341838,185.68478260869566,63.04793368813958,158.9891304347826,81.16294594761841,18.608695652173914,19.154382244495427
15,15,109.18888888888888,87.78988735035291,179.6195652173913,58.29699865331728,135.41304347826087,78.74962417769713,5.641304347826087,6.985359723921865
16,16,76.58888888888889,73.50478358499221,153.7173913043478,51.05183343957915,100.3804347826087,67.86012506416424,0.6086956521739131,3.349096314644252
17,17,43.144444444444446,51.405265858904876,117.22826086956522,40.133230094835255,63.5,53.15430777258424,0.34782608695652173,3.318049396232855
18,18,18.81111111111111,26.246224890213345,71.41304347826087,26.17215254804446,30.16304347826087,32.52032046138465,0.34782608695652173,3.318049396232855
19,19,5.122222222222222,7.971933792691816,35.369565217391305,19.964488795219435,10.021739130434783,14.813315294656476,0.34782608695652173,3.318049396232855
20,20,0.3111111111111111,0.7549016778428014,13.66304347826087,18.948027988428866,1.5543478260869565,3.304687482543225,0.34782608695652173,3.318049396232855
21,21,0.0,0.0,3.3043478260869565,19.012432505917293,0.0,0.0,0.34782608695652173,3.318049396232855
22,22,0.0,0.0,2.130434782608696,19.10566578343596,0.0,0.0,0.34782608695652173,3.318049396232855
23,23,0.0,0.0,2.0434782608695654,19.0787344874033,0.0,0.0,0.34782608695652173,3.318049396232855
