"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","03.01.2020 12:00 - 03.01.2020 13:00 (CET)","487","n/e","n/e","107","209","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","68","192","491"
"BZN|DK2","03.01.2020 13:00 - 03.01.2020 14:00 (CET)","489","n/e","n/e","111","197","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","68","186","415"
"BZN|DK2","03.01.2020 14:00 - 03.01.2020 15:00 (CET)","471","n/e","n/e","113","203","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5","67","158","308"
"BZN|DK2","03.01.2020 15:00 - 03.01.2020 16:00 (CET)","466","n/e","n/e","114","210","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","68","137","182"
"BZN|DK2","03.01.2020 16:00 - 03.01.2020 17:00 (CET)","466","n/e","n/e","114","208","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","87","138"
"BZN|DK2","03.01.2020 17:00 - 03.01.2020 18:00 (CET)","493","n/e","n/e","114","198","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","37","144"
"BZN|DK2","03.01.2020 18:00 - 03.01.2020 19:00 (CET)","492","n/e","n/e","114","192","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","32","197"
"BZN|DK2","03.01.2020 19:00 - 03.01.2020 20:00 (CET)","494","n/e","n/e","114","193","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","69","57","259"
"BZN|DK2","03.01.2020 20:00 - 03.01.2020 21:00 (CET)","486","n/e","n/e","53","194","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","111","324"
"BZN|DK2","03.01.2020 21:00 - 03.01.2020 22:00 (CET)","442","n/e","n/e","42","190","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","182","386"
"BZN|DK2","03.01.2020 22:00 - 03.01.2020 23:00 (CET)","439","n/e","n/e","42","189","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","194","437"
"BZN|DK2","03.01.2020 23:00 - 04.01.2020 00:00 (CET)","312","n/e","n/e","43","168","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","207","525"
"BZN|DK2","04.01.2020 00:00 - 04.01.2020 01:00 (CET)","275","n/e","n/e","42","166","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","212","529"
"BZN|DK2","04.01.2020 01:00 - 04.01.2020 02:00 (CET)","241","n/e","n/e","42","167","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","213","546"
"BZN|DK2","04.01.2020 02:00 - 04.01.2020 03:00 (CET)","242","n/e","n/e","42","170","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","213","569"
"BZN|DK2","04.01.2020 03:00 - 04.01.2020 04:00 (CET)","268","n/e","n/e","42","172","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","213","594"
"BZN|DK2","04.01.2020 04:00 - 04.01.2020 05:00 (CET)","265","n/e","n/e","42","169","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","213","606"
"BZN|DK2","04.01.2020 05:00 - 04.01.2020 06:00 (CET)","256","n/e","n/e","43","165","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","213","632"
"BZN|DK2","04.01.2020 06:00 - 04.01.2020 07:00 (CET)","266","n/e","n/e","42","162","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","211","586"
"BZN|DK2","04.01.2020 07:00 - 04.01.2020 08:00 (CET)","276","n/e","n/e","43","156","9","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","212","566"
"BZN|DK2","04.01.2020 08:00 - 04.01.2020 09:00 (CET)","266","n/e","n/e","43","166","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","56","208","615"
"BZN|DK2","04.01.2020 09:00 - 04.01.2020 10:00 (CET)","381","n/e","n/e","43","177","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","57","206","591"
"BZN|DK2","04.01.2020 10:00 - 04.01.2020 11:00 (CET)","478","n/e","n/e","43","182","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","13","56","201","524"
"BZN|DK2","04.01.2020 11:00 - 04.01.2020 12:00 (CET)","483","n/e","n/e","43","181","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","58","57","210","538"
"BZN|DK2","04.01.2020 12:00 - 04.01.2020 13:00 (CET)","481","n/e","n/e","43","182","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","76","57","213","632"
"BZN|DK2","04.01.2020 13:00 - 04.01.2020 14:00 (CET)","412","n/e","n/e","43","168","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","69","57","213","643"
"BZN|DK2","04.01.2020 14:00 - 04.01.2020 15:00 (CET)","384","n/e","n/e","43","161","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","40","57","213","666"
"BZN|DK2","04.01.2020 15:00 - 04.01.2020 16:00 (CET)","426","n/e","n/e","43","161","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9","57","213","684"
"BZN|DK2","04.01.2020 16:00 - 04.01.2020 17:00 (CET)","501","n/e","n/e","44","163","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","56","213","657"
"BZN|DK2","04.01.2020 17:00 - 04.01.2020 18:00 (CET)","506","n/e","n/e","50","183","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","213","626"
"BZN|DK2","04.01.2020 18:00 - 04.01.2020 19:00 (CET)","505","n/e","n/e","51","192","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","213","586"
"BZN|DK2","04.01.2020 19:00 - 04.01.2020 20:00 (CET)","508","n/e","n/e","51","192","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","59","210","549"
"BZN|DK2","04.01.2020 20:00 - 04.01.2020 21:00 (CET)","505","n/e","n/e","52","191","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","191","444"
"BZN|DK2","04.01.2020 21:00 - 04.01.2020 22:00 (CET)","508","n/e","n/e","52","192","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","174","403"
"BZN|DK2","04.01.2020 22:00 - 04.01.2020 23:00 (CET)","502","n/e","n/e","46","202","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","157","304"
"BZN|DK2","04.01.2020 23:00 - 05.01.2020 00:00 (CET)","507","n/e","n/e","45","202","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","95","194"
"BZN|DK2","05.01.2020 00:00 - 05.01.2020 01:00 (CET)","490","n/e","n/e","45","197","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","54","55","152"
"BZN|DK2","05.01.2020 01:00 - 05.01.2020 02:00 (CET)","502","n/e","n/e","44","157","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","55","75","162"
"BZN|DK2","05.01.2020 02:00 - 05.01.2020 03:00 (CET)","498","n/e","n/e","44","150","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","88","138"
"BZN|DK2","05.01.2020 03:00 - 05.01.2020 04:00 (CET)","462","n/e","n/e","44","152","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","50","119"
"BZN|DK2","05.01.2020 04:00 - 05.01.2020 05:00 (CET)","443","n/e","n/e","44","161","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","45","112"
"BZN|DK2","05.01.2020 05:00 - 05.01.2020 06:00 (CET)","440","n/e","n/e","44","194","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","54","70","134"
"BZN|DK2","05.01.2020 06:00 - 05.01.2020 07:00 (CET)","419","n/e","n/e","44","197","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","51","80","154"
"BZN|DK2","05.01.2020 07:00 - 05.01.2020 08:00 (CET)","451","n/e","n/e","51","200","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","50","64","124"
"BZN|DK2","05.01.2020 08:00 - 05.01.2020 09:00 (CET)","463","n/e","n/e","53","185","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","51","50","102"
"BZN|DK2","05.01.2020 09:00 - 05.01.2020 10:00 (CET)","501","n/e","n/e","52","185","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10","58","17","67"
"BZN|DK2","05.01.2020 10:00 - 05.01.2020 11:00 (CET)","505","n/e","n/e","48","200","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","26","58","27","79"
"BZN|DK2","05.01.2020 11:00 - 05.01.2020 12:00 (CET)","503","n/e","n/e","52","201","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","31","57","35","116"
"BZN|DK2","05.01.2020 12:00 - 05.01.2020 13:00 (CET)","502","n/e","n/e","53","201","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","59","50","161"
