,Season,StDev,NormStDev,Range,NormRange
0,Spring,17461.028203463622,0.07027903253458932,74338.67777777778,0.2992063407289188
1,Summer,9112.663276452327,0.09628696981709362,26532.81521739131,0.2803532074537578
2,Fall,13545.89902878728,0.12048291505910252,37128.645745675545,0.3302377687984451
3,Winter,26190.31629399729,0.10269859040651462,70426.64130434781,0.27615996339377724
